,train_test,triplets,epochs,batch,lr,val_split,loss,val_loss,time
0,1948/488,"(20000, 20, 130)",10/10,32,0.001,0.2,0.00296,0.00222,202.3
1,1948/488,"(20000, 20, 130)",10/10,128,0.001,0.2,0.00341,0.00875,110.01
2,1948/488,"(20000, 20, 130)",10/10,128,0.01,0.2,0.00175,0.00223,110.85
3,1948/488,"(20000, 20, 130)",10/10,128,0.1,0.2,0.00353,0.00557,110.57
4,1948/488,"(20000, 20, 130)",10/10,256,0.001,0.2,0.004,0.00487,102.13
5,1948/488,"(20000, 20, 130)",10/10,256,0.01,0.2,0.00177,0.00102,99.98
6,1948/488,"(20000, 20, 130)",10/10,256,0.1,0.2,0.0037,0.0046,99.94
7,1948/488,"(20000, 20, 130)",10/10,512,0.01,0.2,0.0026,0.0016,95.83
8,1948/488,"(20000, 20, 130)",10/10,512,0.1,0.2,0.00576,0.00984,95.16
9,1948/488,"(20000, 20, 130)",10/10,1024,0.001,0.2,0.02505,0.0265,112.37
10,1948/488,"(20000, 20, 130)",10/10,1024,0.01,0.2,0.00422,0.00714,117.67
11,1948/488,"(20000, 20, 130)",10/10,1024,0.1,0.2,0.00776,0.00403,117.28
12,1948/488,"(20000, 20, 130)",10/10,1024,0.1,0.2,0.00684,0.00742,114.38
13,1948/488,"(20000, 20, 130)",10/10,2048,0.01,0.2,0.3186,1.0,273.7
14,1948/488,"(20000, 20, 130)",10/10,512,0.001,0.2,0.00843,0.01176,94.95
15,1948/488,"(20000, 20, 130)",20/20,512,0.01,0.2,0.00083,0.00178,271.12
16,1948/488,"(20000, 20, 130)",20/20,512,0.01,0.2,0.00151,0.00105,159.6
17,1948/488,"(20000, 20, 130)",18/20,512,0.01,0.2,0.00107,0.00146,171.15
18,1948/488,"(20000, 20, 130)",20/20,512,0.01,0.2,0.00133,0.00109,162.84
19,1948/488,"(20000, 20, 130)",20/20,512,0.01,0.2,0.00094,0.00043,188.85
