,train_test,triplets,epochs,batch,lr,val_split,loss,val_loss,time
0,1948/488,"(20000, 20, 130)",10/10,32,0.001,0.2,0.00296,0.00222,202.3
1,1948/488,"(20000, 20, 130)",10/10,128,0.001,0.2,0.00341,0.00875,110.01
2,1948/488,"(20000, 20, 130)",10/10,128,0.01,0.2,0.00175,0.00223,110.85
3,1948/488,"(20000, 20, 130)",10/10,128,0.1,0.2,0.00353,0.00557,110.57
4,1948/488,"(20000, 20, 130)",10/10,256,0.001,0.2,0.004,0.00487,102.13
5,1948/488,"(20000, 20, 130)",10/10,256,0.01,0.2,0.00177,0.00102,99.98
6,1948/488,"(20000, 20, 130)",10/10,256,0.1,0.2,0.0037,0.0046,99.94
7,1948/488,"(20000, 20, 130)",10/10,512,0.01,0.2,0.0026,0.0016,95.83
8,1948/488,"(20000, 20, 130)",10/10,512,0.1,0.2,0.00576,0.00984,95.16
9,1948/488,"(20000, 20, 130)",10/10,1024,0.001,0.2,0.02505,0.0265,112.37
10,1948/488,"(20000, 20, 130)",10/10,1024,0.01,0.2,0.00422,0.00714,117.67
11,1948/488,"(20000, 20, 130)",10/10,1024,0.1,0.2,0.00776,0.00403,117.28
12,1948/488,"(20000, 20, 130)",10/10,1024,0.1,0.2,0.00684,0.00742,114.38
13,1948/488,"(20000, 20, 130)",10/10,2048,0.01,0.2,0.3186,1.0,273.7
14,1948/488,"(20000, 20, 130)",10/10,512,0.001,0.2,0.00843,0.01176,94.95
15,1948/488,"(20000, 20, 130)",20/20,512,0.01,0.2,0.00083,0.00178,271.12
16,1948/488,"(20000, 20, 130)",20/20,512,0.01,0.2,0.00151,0.00105,159.6
17,1948/488,"(20000, 20, 130)",18/20,512,0.01,0.2,0.00107,0.00146,171.15
18,1948/488,"(20000, 20, 130)",20/20,512,0.01,0.2,0.00133,0.00109,162.84
19,1948/488,"(20000, 20, 130)",20/20,512,0.01,0.2,0.00094,0.00043,188.85
20,1948/488,"(20000, 20, 130)",5/5,512,0.01,0.2,0.01177,0.0138,49.38
21,1948/488,"(20000, 20, 130)",5/5,512,0.01,0.2,0.01085,0.01078,49.32
22,1948/488,"(20000, 20, 130)",5/5,512,0.01,0.2,0.00958,0.00769,48.79
23,1948/488,"(20000, 20, 130)",5/5,512,0.01,0.2,0.009,0.01038,49.42
24,1948/488,"(20000, 20, 130)",5/5,512,0.01,0.2,0.0081,0.0075,50.63
25,1948/488,"(20000, 20, 130)",5/64,64,0.01,0.2,0.00484,0.00496,72.47
26,1948/488,"(20000, 20, 130)",5/128,128,0.01,0.2,0.00516,0.00401,56.45
27,1948/488,"(20000, 20, 130)",5/64,64,0.01,0.2,0.00502,0.00431,72.03
28,1948/488,"(20000, 20, 130)",5/128,128,0.01,0.2,0.00486,0.00317,55.94
29,1948/488,"(20000, 20, 130)",5/256,256,0.01,0.2,0.00611,0.00368,51.57
30,1948/488,"(20000, 20, 130)",5/512,512,0.01,0.2,0.0111,0.0084,48.58
31,1948/488,"(20000, 20, 130)",5/64,64,0.001,0.2,0.0087,0.00552,72.49
32,1948/488,"(20000, 20, 130)",5/128,128,0.001,0.2,0.01104,0.00712,56.41
33,1948/488,"(20000, 20, 130)",5/5,256,0.001,0.2,0.01641,0.01447,51.19
34,1948/488,"(20000, 20, 130)",5/5,512,0.001,0.2,0.03791,0.07229,50.16
35,1948/488,"(20000, 20, 130)",5/5,64,0.0001,0.2,0.06944,0.08817,72.34
36,1948/488,"(20000, 20, 130)",5/5,128,0.0001,0.2,0.09451,0.14291,55.5
37,1948/488,"(20000, 20, 130)",5/5,256,0.0001,0.2,0.14448,0.1535,51.31
38,1948/488,"(20000, 20, 130)",5/5,512,0.0001,0.2,0.27007,0.31386,50.1
